State,Company Name,Address,Contact Name,Contact Phone,Contact Email,Specialty,Website,Notes,
AL,Angler Marine,"417 Ed Hembree Dr., Scottsboro, AL 35769",Joe King (owner),256-574-4447,anglermarineoffice@gmail.com,Houseboat & Yacht Repair Service,https://anglermarineinc.com/,"Full-service marine repair shop with a 50-ton Travelift that can accommodate large cruisers, yachts and houseboats. Provides engine service, bottom paint, fiberglass repair, etc:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}.",
AL,Blue Water Marine Service,"8103 Hwy. 59 S., Foley, AL 36535",Chris & Tracy Price (Owners),251-943-4179,info@bluewatermarineservice.com*,Generator & AC Repair Services,https://bluewatermarineservice.net,"Marine supply store with a service department specialising in electronics installation/repair, generator/AC repair, refrigeration and maintenance services:contentReference[oaicite:2]{index=2}.",
AL,Charlie's Diesel & Marine,"13066 Alabama St., Elberta, AL 36530",Charles Stewart (Owner),251-987-5258,charlies@cdmal.com,Diesel Engine & Generator Service,https://www.charliesdieselandmarineinc.com/,"Provides diesel engine service and repair, generator service and repair and other marine systems for boats:contentReference[oaicite:3]{index=3}.",
AL,Advanced Marine & Power Systems,"25286 Canal Rd., Orange Beach, AL 36561",Karen Whitworth (Office Manager),251-981-6431,info@advancedmarineandpower.com,Westerbeke Dealer & Marine Service,https://advancedmarineandpower.com,Full-service marine provider with certified technicians that service engines and generators including Westerbeke; offers mobile boat repair and storage:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}.,
AL,Saunders Yachtworks,"605 Waterway East Blvd, Gulf Shores, AL 36542",John Fitzgerald (CEO),251-981-3700,jfitzgerald@saundersyacht.com,Diesel Engine & Generator Repair,https://saundersyacht.com,Authorized service center for major diesel engines and generators with certified mechanics and field service; facilities include 165‑ton and 60‑ton lifts for large yacht repairs:contentReference[oaicite:7]{index=7}.,
AL,30 North Yacht Service (Thirty Degrees North),"22634 Canal Rd., Orange Beach, AL 36561",Conner Jung (President),251-980-2253,service@30north.com,Marine Service & Westerbeke Dealer,https://30north.com,"Full-service marine specialists providing service, repair and maintenance for yachts and boats; authorized dealer for brands including Westerbeke:contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}.",
AL,Dog River Marina,"5004 Dauphin Island Pkwy, Mobile, AL 36605",Bob Schwarz (General Manager),251-471-5449,bschwarz@dogrivermarina.com,Full‑service Marina & Generator Sales,https://dogrivermarina.com,Full‑service marina that accommodates vessels up to 150 ft with a 70‑ton Travelift; offers boat repairs and engine/generator sales and service:contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}.,
AL,Middleton Marine (at Dog River Marina),"5004 Dauphin Island Pkwy, Mobile, AL 36605",Ray Demski (Service Manager),251-478-4432,rdemski@dogrivermarina.com,Engine & Generator Sales/Service,https://dogrivermarina.com/middleton-marine,"On‑site at Dog River Marina, Middleton Marine provides engine and generator sales and repair; contact Ray Demski via Yanmar dealer listing:contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}.",
AL,Alred Marina,"351 Marina Rd., Guntersville, AL 35976",Russ Cranford (Manager),256-582-4400,info@alredmarina.com*,Marina with Large Covered Slips,https://alredmarina.com,Marina offering wet slips up to 80 ft and covered slips measuring 50′×18′ and 70′×20′; owners Bill & Judy Cranford and manager Russ Cranford assist boaters:contentReference[oaicite:14]{index=14}:contentReference[oaicite:15]{index=15}.,
AL,Joe Wheeler State Park Marina,"4601 McLean Drive, Rogersville, AL 35652",Marina Manager*,256-247-6971,joewheeler.marina@dcnr.alabama.gov,State Park Marina with 70‑ft Slips,https://alapark.com/joe-wheeler-state-park-marina,State park marina with 26 covered 70‑ft slips and 26 covered 50‑ft slips; slip rates listed for 70 ft and 48 ft fingers:contentReference[oaicite:16]{index=16}:contentReference[oaicite:17]{index=17}.,
AR,Bull Shoals Lake Boat Dock,"140 Boat Dock Cove, P.O. Box 748, Bull Shoals, AR 72619",Ricky Eastwold,870-445-4424,bslbd@southshore.com,Houseboat rentals & Westerbeke dealer/service,https://www.bullshoalslakeboatdock.com,50- and 60-ft houseboats; Westerbeke dealer from PDF and BBB,
AR,IMS,"107 White Oak Drive, Hot Springs, AR 71913",Martin Cain*,501-749-7280,martin_cain@yahoo.com,Marine generator service; Westerbeke dealer, ,Dealer listing; contact name inferred from email*,
AR,Ouachita Marine Service,"4201 Brady Mountain Rd, Royal, AR 71968",Herschel Herron,501-767-3033,,Marine repair & generator service; Westerbeke dealer,,Partner Herschel Herron identified on Buzzfile; Westerbeke dealer,
AR,Wake Zone Inc.,"1649 N. Crystal Springs Rd, Royal, AR 71968",Donny & Suzanne Kindt,501-991-3600,contact@wakezone.com,Luxury houseboat rentals & Westerbeke dealer,https://houseboatingarkansas.com,Family‑owned houseboat rentals; listed as Westerbeke dealer,
AR,Lacey's Boating Center / Narrows Marina,"7674 Edgemont Rd, Greers Ferry, AR 72067",Jon Stillwell,501-825-6214,brooke@laceysmarina.com,Houseboat rentals & marina services,https://www.laceysmarina.com,Offers 75-ft houseboat with 15 kW Westerbeke generator; staff page lists Jon Stillwell as marina manager,
AR,DreamChaser Houseboat & Water Toy Rentals,"60 Marina Dr, PO Box 23079, Mount Ida, AR 71957",Bill & Dawn Cattaneo,870-867-3480,info@dreamchaserhouseboats.com,Houseboat rentals (up to 84-ft) & water toys,https://dreamchaserhouseboats.com,LandCAN listing identifies Bill and Dawn Cattaneo as contacts; provides large houseboats,
AR,North Shores Resort & Marina,"190 Shore View Loop, Jessieville, AR 71949",Brittnie Heath,501-984-5420,north_shores@yahoo.com,"Resort, marina & houseboat slip rentals",https://northshoresfun.com,BBB lists Brittnie Heath as owner; offers boat slips up to 100 ft and houseboat rentals,
AR,Iron Mountain Lodge & Marina,"134 Iron Mountain Marina Dr, Arkadelphia, AR 71923",Charles Egleston,870-246-4310,info@iron-mountain.com,Lodge & marina with boat slips and storage,https://www.iron-mountain.com,BBB lists Charles Egleston as manager; marina offers boat slips and storage for large vessels,
AR,Safe Harbor Brady Mountain,"4120 Brady Mountain Rd, Royal, AR 71968",Jody Belknap*,501-767-3422,,Marina & resort; houseboat slips up to 100-ft,https://safeharbor.com/locations/brady-mountain,General manager name inferred from environmental document*; offers large boat slips,
IA,S&S Boat Rentals,"990 S Front St, PO Box 389, Lansing, IA 52151",Blake & Amanda Schoh,563-538-4454,info@ssboatrentals.com,Houseboat rentals & marina services,https://www.ssboatrentals.com,Travel Iowa listing notes fully furnished houseboats and pontoon rentals; new owners Blake and Amanda Schoh operate the business,
IA,Nauti Marina,"400 Business Highway 18 N, McGregor, IA 52157",Marina Manager*,563-873-9613,info@nautimarina.com,"Seasonal houseboat rentals, marina & storage",https://www.nautimarina.com,"Offers seasonal houseboat rentals, gas, bar, boat slips and storage; contact information from site",
IA,Oak Hill Marina,"176 Highway 71 South, Arnolds Park, IA 51331",Service Department*,712-332-2701,service@oakhillcompanies.com,Westerbeke dealer (sales & service),https://oakhillmarina.com,Westerbeke dealer list identifies Oak Hill Marina as a full service Westerbeke dealer,
IA,Dubuque Marina & Yardarm,"1201 Shiras Ave Ext, Dubuque, IA 52001",Alex Schute,563-582-3653 ext. 305,jamie@dubuquemarina.com,Marina with covered/uncovered slips up to 75 ft,https://www.dubuquemarina.com,Offers slips up to 75 ft; contact Alex Schute is listed for transient dockage,
IA,Red Rock Marina,"1768 Hwy G28, Pella, IA 50219",Matt Bales,641-627-5743,redrock@suntex.com,Marina with covered/uncovered slips up to 60 ft,https://redrockmarina.com,Marina with slips up to 60 ft and 25-ton Con-O-Lift; general manager Matt Bales identified in BBB profile,
IL,Bay Marine of Chicago,"3 East Madison Street, Waukegan, IL",Brendan*,847-336-2628,brendan@baymarine.net,Westerbeke dealer & full‑service marina,https://www.baymarinechicago.com/services,Listed as Full Service Dealer in Westerbeke PDF,
IL,Crowley's Yacht Yard,"3434 East 95TH Street, Chicago, IL",L. Spies*,773-221-9990,lspies@crowleys.com,Mechanical services & Westerbeke‑certified technicians,https://crowleys.com/mechanical-services,Full/Internet Westerbeke dealer,
IL,Harborside Marina,"27425 S. Will Road, Wilmington, IL",Unknown*,815-476-4400,info@harborsidemarina.com,Full‑service marina & boat dealer,https://www.harborsidemarina.com/bring-in-your-sport-boat-pontoon-quadski-electric-boat-floating-home-for-maintenance--service,Full Service listed in dealer PDF,
IL,Larsen Marine Service,"625 Sea Horse Drive, Waukegan, IL",B. Larsen*,847-336-5456,blarsen@larsenmarine.com,Full‑service marina & authorized Westerbeke service center,https://larsenmarine.com/service/#Electronics,Full Service Westerbeke dealer,
IL,Marine Services Corp.,"14001 Cottage Grove Avenue, Dolton, IL 60419",JR*,708-841-5660,jr@marineservicescorp.com,Full‑service marina & Westerbeke dealer,https://www.marineservicescorp.com/yacht-services/,Full Service Dealer,
IL,Mid Town Marina,"285 5TH Street East, East Dubuque, IL",Jeremy McDowell,815-747-3310,jeremy@midtownmarina.com,Family‑owned full‑service marina (Westerbeke dealer),https://midtownmarina.com/,Full Service Dealer,
IL,National Marine Service & Rentals,"5406 N. Galena Road, Peoria Heights, IL 61616",Pat*,309-688-5513,contact@nationalmarinepeoria.com,Full‑service marina & rentals; Westerbeke dealer,https://nationalmarinesales.com/,Full Service Dealer,
IL,Pier 11 Marina,"826 E. 138TH Street, Chicago, IL",Unknown*,773-468-9605,info@pier11marina.com,Full‑service marina & Westerbeke dealer,https://www.pier11marina.com/services-9,Full Service Dealer,
IL,Retner Marine,"13535 S. Forest Avenue, Chicago, IL",Unknown*,773-468-3776,service@rentnermarine.net,Full‑service marina & Westerbeke dealer,http://rentnermarine.net/,Full Service Dealer,
IL,SkipperBud's Northpoint,"215 Northpoint Drive, Winthrop Harbor, IL",Unknown*,847-872-0292,npservice@skipperbuds.com,Full‑service marina & Westerbeke dealer,SkipperBud's North Point | Full-Service Yacht & Boat Dealership | SkipperBud's,Full Service Dealer,
IL,Two Rivers Marina,"13495 US HWY 54, Rockport, IL",Laurell*,217-437-2321,laurell.tworiversmarina@gmail.com,Full‑service marina & campground; Westerbeke dealer,https://tworiversmarina.com/,Full Service Dealer,
IL,Unley Marine,"100 - 18th Avenue, Rock Island, IL",Tom Unley,309-793-7890,office@unleymarine.com,Westerbeke Dealer,https://unleymarine.com/,Full Service Dealer,
IL,Millennium Marina – MS. Millie,"780 Harbor Dr. East Dubuque, IL 61025",Samantha*,815-5546196,samantha@millenniummarina.com,Floating cabins rental,https://www.millenniummarina.com,2‑3 bedroom floating cabins at marina,
IL,Starved Rock River Adventures,"1132 N 27th Rd, Ottawa, IL",Unknown*,815‑434‑9200,rentals@starvedrockriveradventures.com,Houseboat BNB rental,http://starvedrockriveradventures.com,60 ft 'Landon Shane' houseboat moored at Starved Rock Marina,
IL,Lithia Springs Marina,"2060 E. 1500 North Road, Shelbyville, IL ",Unknown*,217-774-4121(rentals); 217-774-3221(service),info@lithiamarina.com; reservations@lithiamarina.com,Houseboat rental/service,https://lithiamarina.com,Rents 60′ Sunstar houseboat and party barges,
IL,The Cottages on Petite Lake,"25621 W. Hermann Ave, Antioch, IL",David or Jessica*,847-456-3181,thecottagesonpetitelake@gmail.com,“Floating houseboat” stay,https://rentals.thecottagesonpetitelake.com,Houseboat‑style lodging on Petite Lake,
